full_date,date,weekday,time,mood,activities,note
2019-09-07,7 September,Saturday,7:55 pm,Happy,"Boyfriend | Friends | Relax | coffee",""
2019-09-06,6 September,Friday,11:10 pm,Happy,"Work | Study | Drinks",""
2019-09-06,6 September,Friday,5:13 pm,Alright,"Work",""
2019-09-05,5 September,Thursday,1:49 pm,Happy,"Work",""
2019-09-04,4 September,Wednesday,7:57 pm,Happy,"Work | Drinks",""
2019-09-04,4 September,Wednesday,1:34 pm,Alright,"Work",""
2019-09-03,3 September,Tuesday,7:53 pm,Happy,"Work | Study | coffee",""
2019-09-03,3 September,Tuesday,1:36 pm,Great,"Work",""
2019-09-02,2 September,Monday,7:52 pm,Happy,"Boyfriend | Work | Yoga",""
2019-09-01,1 September,Sunday,7:56 pm,Happy,"Family",""
2019-09-01,1 September,Sunday,5:02 pm,Happy,"Family | Relax",""
2019-08-31,31 August,Saturday,9:30 pm,Happy,"Gaming | Relax | Study",""
2019-08-31,31 August,Saturday,12:00 pm,Happy,"Relax | Study",""
2019-08-30,30 August,Friday,11:36 pm,Happy,"Work | Study",""
2019-08-30,30 August,Friday,1:01 pm,Happy,"Work",""
2019-08-29,29 August,Thursday,10:21 pm,Happy,"Work | Yoga | Relax",""
2019-08-29,29 August,Thursday,4:36 pm,Happy,"Work",""
2019-08-28,28 August,Wednesday,11:38 pm,Alright,"Work | Study",""
2019-08-28,28 August,Wednesday,12:45 pm,Alright,"Work",""
2019-08-27,27 August,Tuesday,9:40 pm,Happy,"Work | Study",""
2019-08-27,27 August,Tuesday,12:06 pm,Alright,"Work",""
2019-08-26,26 August,Monday,10:02 pm,Happy,"Family | Work | Relax",""
2019-08-26,26 August,Monday,12:41 pm,Alright,"Work",""
2019-08-25,25 August,Sunday,10:17 pm,Great,"Friends | Relax | Shopping",""
2019-08-24,24 August,Saturday,9:30 pm,Happy,"Relax",""
2019-08-24,24 August,Saturday,12:25 pm,Happy,"","Product Camp"
2019-08-23,23 August,Friday,10:47 pm,Happy,"Boyfriend | Work | Relax",""
2019-08-23,23 August,Friday,12:36 pm,Happy,"Work",""
2019-08-22,22 August,Thursday,10:36 pm,Happy,"Work | Study",""
2019-08-22,22 August,Thursday,1:22 pm,Alright,"Work",""
2019-08-21,21 August,Wednesday,9:41 pm,Happy,"Work | Study",""
2019-08-21,21 August,Wednesday,1:20 pm,Depressed,"Work",""
2019-08-20,20 August,Tuesday,10:10 pm,Depressed,"Work",""
2019-08-19,19 August,Monday,11:30 pm,Depressed,"Work | Study",""
2019-08-18,18 August,Sunday,9:40 pm,Happy,"Relax | Sport",""
2019-08-18,18 August,Sunday,12:08 pm,Happy,"Relax | coffee",""
2019-08-17,17 August,Saturday,9:58 pm,Happy,"Family | Relax | Shopping",""
2019-08-17,17 August,Saturday,12:50 pm,Happy,"Relax | Shopping",""
2019-08-16,16 August,Friday,12:21 pm,Happy,"Work | coffee",""
2019-08-15,15 August,Thursday,9:48 pm,Alright,"Work",""
2019-08-15,15 August,Thursday,12:13 pm,Alright,"Work",""
2019-08-14,14 August,Wednesday,10:18 pm,Alright,"Work | Study",""
2019-08-13,13 August,Tuesday,9:30 pm,Depressed,"Work | Relax",""
2019-08-12,12 August,Monday,9:35 pm,Not happy,"Work | Yoga | Relax",""
2019-08-11,11 August,Sunday,9:30 pm,Alright,"Relax",""
2019-08-10,10 August,Saturday,9:38 pm,Happy,"Family | Relax",""
2019-08-09,9 August,Friday,10:41 pm,Happy,"Boyfriend | Work",""
2019-08-09,9 August,Friday,2:38 pm,Alright,"Work",""
2019-08-08,8 August,Thursday,9:43 pm,Happy,"Friends | Work | Drinks",""
2019-08-08,8 August,Thursday,12:54 pm,Alright,"Work",""
2019-08-07,7 August,Wednesday,10:04 pm,Happy,"Work","Monash Industry Night"
2019-08-07,7 August,Wednesday,12:02 pm,Happy,"Relax",""
2019-08-06,6 August,Tuesday,9:41 pm,Alright,"Boyfriend | Work | Relax",""
2019-08-05,5 August,Monday,9:34 pm,Happy,"Work | Yoga",""
2019-08-04,4 August,Sunday,9:50 pm,Happy,"Boyfriend | Relax | coffee",""
2019-08-03,3 August,Saturday,9:42 pm,Happy,"Family | Relax | Study | coffee",""
2019-08-02,2 August,Friday,9:59 pm,Alright,"Work | Study",""
2019-08-02,2 August,Friday,12:16 pm,Not happy,"Work",""
2019-08-01,1 August,Thursday,9:30 pm,Happy,"Work | Yoga | Relax",""
2019-07-31,31 July,Wednesday,11:52 pm,Alright,"Work | Study",""
2019-07-31,31 July,Wednesday,4:39 pm,Alright,"Work",""
2019-07-30,30 July,Tuesday,9:50 pm,Alright,"Work | Study",""
2019-07-29,29 July,Monday,10:28 pm,Alright,"Work | Yoga",""
2019-07-28,28 July,Sunday,9:38 pm,Happy,"Relax | Study | Sport",""
2019-07-28,28 July,Sunday,12:16 pm,Happy,"Relax | Study",""
2019-07-27,27 July,Saturday,9:35 pm,Happy,"Boyfriend | Relax | Study | coffee",""
2019-07-27,27 July,Saturday,12:19 pm,Alright,"Relax | Study",""
2019-07-26,26 July,Friday,9:35 pm,Alright,"Relax",""
2019-07-26,26 July,Friday,12:05 pm,Not happy,"Relax","Sick"
2019-07-25,25 July,Thursday,9:35 pm,Alright,"Work | Study",""
2019-07-25,25 July,Thursday,12:11 pm,Not happy,"Work",""
2019-07-24,24 July,Wednesday,9:42 pm,Happy,"Boyfriend | Work | Study | Dined Out",""
2019-07-24,24 July,Wednesday,1:00 pm,Alright,"Work",""
2019-07-23,23 July,Tuesday,9:39 pm,Happy,"Yoga | Study",""
2019-07-23,23 July,Tuesday,7:28 pm,Happy,"Work | Yoga",""
2019-07-22,22 July,Monday,9:37 pm,Happy,"Relax",""
2019-07-22,22 July,Monday,12:21 pm,Alright,"Relax | Study",""
2019-07-21,21 July,Sunday,10:42 pm,Alright,"Relax | Study | Sport",""
2019-07-21,21 July,Sunday,12:12 pm,Alright,"Relax | coffee",""
2019-07-20,20 July,Saturday,11:05 pm,Happy,"Relax | Study",""
2019-07-20,20 July,Saturday,12:41 pm,Happy,"Relax | Cleaning",""
2019-07-19,19 July,Friday,10:46 pm,Depressed,"Work",""
2019-07-18,18 July,Thursday,10:34 pm,Happy,"Work | Yoga | Study",""
2019-07-18,18 July,Thursday,12:47 pm,Alright,"Work",""
2019-07-17,17 July,Wednesday,9:53 pm,Happy,"Work | Relax",""
2019-07-17,17 July,Wednesday,12:17 pm,Happy,"Work",""
2019-07-16,16 July,Tuesday,8:22 pm,Alright,"Work | Study",""
2019-07-15,15 July,Monday,7:05 pm,Happy,"Work | Yoga | Study",""
2019-07-14,14 July,Sunday,9:50 pm,Happy,"Relax | Study | Dined Out | Sport",""
2019-07-13,13 July,Saturday,9:40 pm,Great,"Family | Yoga | Relax | coffee",""
2019-07-12,12 July,Friday,7:00 pm,Not happy,"Work",""
2019-07-11,11 July,Thursday,7:04 pm,Happy,"Work | Yoga",""
2019-07-10,10 July,Wednesday,7:46 pm,Happy,"Relax | Study",""
2019-07-09,9 July,Tuesday,7:22 pm,Happy,"Work",""
2019-07-08,8 July,Monday,7:30 pm,Happy,"Work | Yoga",""
2019-07-07,7 July,Sunday,7:40 pm,Alright,"Relax",""
2019-07-06,6 July,Saturday,7:16 pm,Great,"Boyfriend | Relax | Cooking | Cleaning | coffee",""
2019-07-05,5 July,Friday,7:03 pm,Happy,"Work | Relax",""
2019-07-04,4 July,Thursday,8:44 pm,Not happy,"Work | Yoga",""
2019-07-03,3 July,Wednesday,7:04 pm,Not happy,"Work",""
2019-07-02,2 July,Tuesday,8:01 pm,Happy,"Friends | Work | Drinks",""
2019-07-01,1 July,Monday,8:00 pm,Happy,"Work",""
2019-06-30,30 June,Sunday,7:42 pm,Happy,"Yoga | Relax | Sport",""
2019-06-29,29 June,Saturday,8:54 pm,Happy,"Boyfriend | Relax | coffee",""
2019-06-28,28 June,Friday,7:54 pm,Not happy,"Work | Drinks",""
2019-06-27,27 June,Thursday,8:00 pm,Depressed,"Work",""
2019-06-26,26 June,Wednesday,10:54 pm,Happy,"Friends | Work | Drinks",""
2019-06-25,25 June,Tuesday,7:00 pm,Depressed,"Work",""
2019-06-24,24 June,Monday,8:19 pm,Alright,"Work | Yoga",""
2019-06-23,23 June,Sunday,7:18 pm,Great,"Family | Yoga | Relax | Sport",""
2019-06-22,22 June,Saturday,7:09 pm,Happy,"Family | Relax",""
2019-06-21,21 June,Friday,7:02 pm,Alright,"Work",""
2019-06-20,20 June,Thursday,7:09 pm,Not happy,"Work | Yoga",""
2019-06-19,19 June,Wednesday,7:13 pm,Happy,"Relax",""
2019-06-18,18 June,Tuesday,7:07 pm,Happy,"Yoga | Relax | Shopping","Day off work"
2019-06-17,17 June,Monday,7:26 pm,Happy,"Work | Yoga",""
2019-06-16,16 June,Sunday,7:26 pm,Happy,"Relax | Sport",""
2019-06-15,15 June,Saturday,7:15 pm,Happy,"Friends | Yoga | Relax | coffee",""
2019-06-14,14 June,Friday,7:09 pm,Alright,"Work",""
2019-06-13,13 June,Thursday,7:26 pm,Alright,"Work | Yoga",""
2019-06-12,12 June,Wednesday,9:35 pm,Happy,"Work | Dined Out",""
2019-06-11,11 June,Tuesday,7:23 pm,Alright,"Work",""
2019-06-10,10 June,Monday,8:31 pm,Happy,"Yoga | Relax",""
2019-06-09,9 June,Sunday,8:00 pm,Happy,"Relax | Shopping",""
2019-06-08,8 June,Saturday,7:50 pm,Not happy,"Relax","Broke up with Aaron"
2019-06-07,7 June,Friday,7:00 pm,Alright,"Work",""
2019-06-06,6 June,Thursday,7:03 pm,Alright,"Work",""
2019-06-05,5 June,Wednesday,7:11 pm,Depressed,"Work",""
2019-06-04,4 June,Tuesday,7:33 pm,Depressed,"Work",""
2019-06-03,3 June,Monday,7:05 pm,Not happy,"Work",""
2019-06-02,2 June,Sunday,7:34 pm,Happy,"Relax | Sport",""
2019-06-01,1 June,Saturday,7:09 pm,Not happy,"Relax",""
2019-05-31,31 May,Friday,7:45 pm,Alright,"Work",""
2019-05-30,30 May,Thursday,7:23 pm,Not happy,"Work",""
2019-05-29,29 May,Wednesday,7:22 pm,Not happy,"Work",""
2019-05-28,28 May,Tuesday,7:02 pm,Alright,"Work",""
2019-05-27,27 May,Monday,7:07 pm,Alright,"Work",""
2019-05-26,26 May,Sunday,7:01 pm,Happy,"Boyfriend | Relax | coffee | Dined Out | Sport",""
2019-05-25,25 May,Saturday,7:00 pm,Happy,"Boyfriend | Relax | Travelling",""
2019-05-24,24 May,Friday,8:09 pm,Happy,"Boyfriend | Work",""
2019-05-23,23 May,Thursday,7:12 pm,Happy,"Work",""
2019-05-22,22 May,Wednesday,7:10 pm,Alright,"Work",""
2019-05-21,21 May,Tuesday,7:10 pm,Depressed,"coffee","Crashed my car"
2019-05-20,20 May,Monday,7:19 pm,Not happy,"Work",""
2019-05-19,19 May,Sunday,7:44 pm,Happy,"Boyfriend | Relax | Dined Out | Sport",""
2019-05-18,18 May,Saturday,7:21 pm,Great,"Family | Relax",""
2019-05-17,17 May,Friday,7:01 pm,Alright,"Work",""
2019-05-16,16 May,Thursday,7:03 pm,Happy,"Work",""
2019-05-15,15 May,Wednesday,7:01 pm,Happy,"Work",""
2019-05-14,14 May,Tuesday,7:37 pm,Happy,"Boyfriend | Work | Relax",""
2019-05-13,13 May,Monday,7:05 pm,Happy,"Work | Travelling",""
2019-05-12,12 May,Sunday,7:04 pm,Happy,"Family | Relax | coffee | Travelling",""
2019-05-11,11 May,Saturday,7:01 pm,Happy,"Family | coffee",""
2019-05-10,10 May,Friday,8:00 pm,Not happy,"Work",""
2019-05-09,9 May,Thursday,7:14 pm,Happy,"Work",""
2019-05-08,8 May,Wednesday,7:14 pm,Alright,"Work",""
2019-05-07,7 May,Tuesday,7:00 pm,Happy,"Work",""
2019-05-06,6 May,Monday,7:00 pm,Happy,"Work",""
2019-05-05,5 May,Sunday,8:00 pm,Great,"Boyfriend | Family | Relax | Sport",""
2019-05-04,4 May,Saturday,7:04 pm,Happy,"Boyfriend | Relax | coffee | Dined Out",""
2019-05-03,3 May,Friday,7:19 pm,Happy,"Work",""
2019-05-02,2 May,Thursday,7:02 pm,Alright,"Work",""
2019-05-01,1 May,Wednesday,8:38 pm,Not happy,"Work",""
2019-04-30,30 April,Tuesday,8:27 pm,Alright,"Work",""
2019-04-29,29 April,Monday,8:01 pm,Alright,"Work",""
2019-04-28,28 April,Sunday,8:00 pm,Great,"Boyfriend | Relax | coffee | Sport",""
2019-04-27,27 April,Saturday,8:20 pm,Great,"Boyfriend | Relax | Movies",""
2019-04-26,26 April,Friday,8:06 pm,Happy,"Work",""
2019-04-25,25 April,Thursday,8:00 pm,Great,"Boyfriend | Family | Relax | Dined Out",""
2019-04-24,24 April,Wednesday,11:06 pm,Not happy,"Work",""
2019-04-23,23 April,Tuesday,8:22 pm,Alright,"Work",""
2019-04-22,22 April,Monday,8:13 pm,Great,"Relax | Shopping",""
2019-04-21,21 April,Sunday,8:00 pm,Great,"Boyfriend | Family | Relax",""
2019-04-20,20 April,Saturday,9:21 pm,Great,"Boyfriend | Relax | coffee | Dined Out",""
2019-04-19,19 April,Friday,8:01 pm,Happy,"Gaming | Relax",""
2019-04-18,18 April,Thursday,8:37 pm,Alright,"Family | Work",""
2019-04-17,17 April,Wednesday,8:10 pm,Happy,"Boyfriend | Work",""
2019-04-16,16 April,Tuesday,8:12 pm,Happy,"Work",""
2019-04-15,15 April,Monday,8:01 pm,Happy,"Work",""
2019-04-14,14 April,Sunday,8:02 pm,Great,"Boyfriend | Relax",""
2019-04-13,13 April,Saturday,9:36 pm,Great,"Boyfriend | Family | Relax | Dined Out",""
2019-04-12,12 April,Friday,8:27 pm,Alright,"Work",""
2019-04-11,11 April,Thursday,10:03 pm,Alright,"Work",""
2019-04-10,10 April,Wednesday,8:00 pm,Great,"Work | Special Outing",""
2019-04-09,9 April,Tuesday,8:13 pm,Happy,"Work | Dined Out",""
2019-04-08,8 April,Monday,8:00 pm,Happy,"Work",""
2019-04-07,7 April,Sunday,8:23 pm,Happy,"Boyfriend | Gaming | Relax | Shopping",""
2019-04-06,6 April,Saturday,8:51 pm,Great,"Boyfriend",""
2019-04-05,5 April,Friday,8:04 pm,Alright,"Boyfriend | Work",""
2019-04-04,4 April,Thursday,8:04 pm,Alright,"Work",""
2019-04-03,3 April,Wednesday,8:01 pm,Happy,"Work",""
2019-04-02,2 April,Tuesday,9:19 pm,Great,"Boyfriend | Work | Dined Out | Travelling",""
2019-04-01,1 April,Monday,8:01 pm,Happy,"Work | Dined Out",""
2019-03-31,31 March,Sunday,9:29 pm,Great,"Boyfriend | Relax | Dined Out | Travelling",""
2019-03-30,30 March,Saturday,8:04 pm,Happy,"Boyfriend | Relax | Dined Out",""
2019-03-29,29 March,Friday,8:07 pm,Happy,"Work | Drinks",""
2019-03-28,28 March,Thursday,8:05 pm,Happy,"Work",""
2019-03-27,27 March,Wednesday,8:24 pm,Happy,"Work",""
2019-03-26,26 March,Tuesday,8:02 pm,Happy,"Work",""
2019-03-25,25 March,Monday,8:01 pm,Happy,"Work",""
2019-03-24,24 March,Sunday,8:00 pm,Happy,"Boyfriend | Gaming | Relax",""
2019-03-23,23 March,Saturday,8:00 pm,Not happy,"Boyfriend | Gaming | Relax | Movies",""
2019-03-22,22 March,Friday,8:02 pm,Happy,"Work | coffee",""
2019-03-21,21 March,Thursday,8:00 pm,Not happy,"Work",""
2019-03-20,20 March,Wednesday,8:12 pm,Happy,"Work",""
2019-03-19,19 March,Tuesday,8:31 pm,Alright,"Work",""
2019-03-18,18 March,Monday,8:01 pm,Happy,"Work",""
2019-03-17,17 March,Sunday,8:05 pm,Happy,"Relax",""
2019-03-16,16 March,Saturday,8:03 pm,Alright,"Boyfriend | Relax",""
2019-03-15,15 March,Friday,8:40 pm,Happy,"Work",""
2019-03-14,14 March,Thursday,8:00 pm,Not happy,"Work",""
2019-03-13,13 March,Wednesday,8:01 pm,Not happy,"Work",""
2019-03-12,12 March,Tuesday,8:19 pm,Happy,"Work",""
2019-03-11,11 March,Monday,10:38 pm,Alright,"Boyfriend | Relax",""
2019-03-10,10 March,Sunday,8:00 pm,Alright,"Family",""
2019-03-09,9 March,Saturday,8:00 pm,Alright,"Relax",""
2019-03-08,8 March,Friday,8:18 pm,Not happy,"Work",""
2019-03-07,7 March,Thursday,8:18 pm,Great,"Work | Gaming",""
2019-03-06,6 March,Wednesday,8:00 pm,Alright,"Work",""
2019-03-05,5 March,Tuesday,8:08 pm,Alright,"Work",""
2019-03-04,4 March,Monday,8:13 pm,Happy,"Work",""
2019-03-03,3 March,Sunday,8:34 pm,Great,"Boyfriend | Relax | Sport",""
2019-03-02,2 March,Saturday,8:27 pm,Great,"Boyfriend | Relax",""
2019-03-01,1 March,Friday,9:00 am,Not happy,"Boyfriend | Work",""
2019-02-28,28 February,Thursday,8:12 pm,Alright,"Work",""
2019-02-27,27 February,Wednesday,8:27 pm,Great,"Friends | Work",""
2019-02-26,26 February,Tuesday,8:05 pm,Happy,"Work",""
2019-02-25,25 February,Monday,8:00 pm,Great,"Work",""
2019-02-24,24 February,Sunday,8:17 pm,Great,"Relax | Sport",""
2019-02-23,23 February,Saturday,8:11 pm,Happy,"Boyfriend | Family | Relax",""
2019-02-22,22 February,Friday,8:11 pm,Great,"Friends | Work | Drinks",""
2019-02-21,21 February,Thursday,8:06 pm,Happy,"Work",""
2019-02-20,20 February,Wednesday,8:01 pm,Happy,"Work",""
2019-02-19,19 February,Tuesday,8:07 pm,Happy,"Boyfriend | Work",""
2019-02-18,18 February,Monday,8:06 pm,Alright,"Work",""
2019-02-17,17 February,Sunday,8:06 pm,Happy,"Boyfriend | Relax | Shopping | Sport",""
2019-02-16,16 February,Saturday,8:41 pm,Great,"Boyfriend | Family | Relax",""
2019-02-15,15 February,Friday,8:25 pm,Alright,"Work",""
2019-02-14,14 February,Thursday,9:42 pm,Happy,"Boyfriend | Work",""
2019-02-13,13 February,Wednesday,8:25 pm,Happy,"Work",""
2019-02-12,12 February,Tuesday,8:05 pm,Not happy,"Work",""
2019-02-11,11 February,Monday,8:07 pm,Happy,"Work",""
2019-02-10,10 February,Sunday,8:31 pm,Happy,"Relax | Shopping | Sport",""
2019-02-09,9 February,Saturday,8:26 pm,Alright,"Shopping",""
2019-02-08,8 February,Friday,8:25 pm,Alright,"Relax | Shopping",""
2019-02-07,7 February,Thursday,8:01 pm,Alright,"",""
2019-02-06,6 February,Wednesday,8:07 pm,Alright,"",""
2019-02-05,5 February,Tuesday,8:00 pm,Happy,"Work",""
2019-02-04,4 February,Monday,8:33 pm,Happy,"Work",""
2019-02-03,3 February,Sunday,8:17 pm,Happy,"Relax | Sport",""
2019-02-02,2 February,Saturday,10:02 pm,Not happy,"Family",""
2019-02-01,1 February,Friday,8:00 pm,Happy,"Work",""
2019-01-31,31 January,Thursday,8:20 pm,Happy,"Work",""
2019-01-30,30 January,Wednesday,8:23 pm,Happy,"Work",""
2019-01-29,29 January,Tuesday,8:00 pm,Happy,"Work",""
2019-01-28,28 January,Monday,8:02 pm,Happy,"Boyfriend | Relax",""
2019-01-27,27 January,Sunday,9:27 pm,Happy,"Boyfriend | Friends | Relax | coffee",""
2019-01-26,26 January,Saturday,8:05 pm,Great,"Friends | Relax | coffee | Dined Out | Drinks",""
2019-01-25,25 January,Friday,8:20 pm,Not happy,"Work",""
2019-01-24,24 January,Thursday,8:40 pm,Happy,"Work | Drinks",""
2019-01-23,23 January,Wednesday,8:02 pm,Happy,"Work",""
2019-01-22,22 January,Tuesday,8:50 pm,Happy,"Boyfriend | Work",""
2019-01-21,21 January,Monday,8:34 pm,Alright,"Work",""
2019-01-20,20 January,Sunday,8:19 pm,Happy,"Boyfriend | Family | Relax | coffee | Sport",""
2019-01-19,19 January,Saturday,8:56 pm,Happy,"Boyfriend | Relax | Shopping | Movies",""
2019-01-18,18 January,Friday,8:07 pm,Alright,"Work",""
2019-01-17,17 January,Thursday,8:42 pm,Alright,"Work",""
2019-01-16,16 January,Wednesday,8:06 pm,Depressed,"Work",""
2019-01-15,15 January,Tuesday,8:36 pm,Not happy,"Work",""
2019-01-14,14 January,Monday,8:02 pm,Great,"Work",""
2019-01-13,13 January,Sunday,8:00 pm,Great,"Boyfriend | Relax | Cooking",""
2019-01-12,12 January,Saturday,8:02 pm,Great,"Relax | coffee",""
2019-01-11,11 January,Friday,8:18 pm,Great,"Work",""
2019-01-10,10 January,Thursday,8:07 pm,Happy,"Work",""
2019-01-09,9 January,Wednesday,8:25 pm,Happy,"Work",""
2019-01-08,8 January,Tuesday,8:16 pm,Happy,"Work",""
2019-01-07,7 January,Monday,8:00 pm,Happy,"Work",""
2019-01-06,6 January,Sunday,8:01 pm,Happy,"Gaming | Relax | Movies",""
2019-01-05,5 January,Saturday,8:20 pm,Alright,"Boyfriend | Relax",""
2019-01-04,4 January,Friday,11:04 pm,Alright,"Boyfriend | Work | Movies",""
2019-01-03,3 January,Thursday,1:26 pm,Happy,"Work",""
2019-01-02,2 January,Wednesday,1:26 pm,Happy,"Work",""
2019-01-01,1 January,Tuesday,1:27 pm,Great,"Gaming | Relax",""